id	entrypoint	group	topic	op	canonical_path	surface	stability	layer	hidden	summary
yai.boot.deps_snapshot	run	boot	boot	deps_snapshot	run boot deps_snapshot	plumbing	experimental	docs	False	boot snapshot operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_status	run	boot	boot	deps_status	run boot deps_status	plumbing	experimental	docs	False	boot status operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_sync	run	boot	boot	deps_sync	run boot deps_sync	plumbing	experimental	docs	False	boot sync operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_trace	run	boot	boot	deps_trace	run boot deps_trace	plumbing	experimental	docs	False	boot trace operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_unseal	run	boot	boot	deps_unseal	run boot deps_unseal	plumbing	experimental	docs	False	boot unseal operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_verify	run	boot	boot	deps_verify	run boot deps_verify	plumbing	experimental	docs	False	boot verify operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_warmup	run	boot	boot	deps_warmup	run boot deps_warmup	plumbing	experimental	docs	False	boot warmup operation on deps with deterministic contract and traceable outputs.
yai.boot.health_audit	run	boot	boot	health_audit	run boot health_audit	plumbing	experimental	docs	False	boot audit operation on health with deterministic contract and traceable outputs.
yai.boot.health_bootstrap	run	boot	boot	health_bootstrap	run boot health_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on health with deterministic contract and traceable outputs.
yai.boot.health_check	run	boot	boot	health_check	run boot health_check	plumbing	experimental	docs	False	boot check operation on health with deterministic contract and traceable outputs.
yai.boot.health_guard	run	boot	boot	health_guard	run boot health_guard	plumbing	experimental	docs	False	boot guard operation on health with deterministic contract and traceable outputs.
yai.boot.health_index	run	boot	boot	health_index	run boot health_index	plumbing	experimental	docs	False	boot index operation on health with deterministic contract and traceable outputs.
yai.boot.health_inspect	run	boot	boot	health_inspect	run boot health_inspect	plumbing	experimental	docs	False	boot inspect operation on health with deterministic contract and traceable outputs.
yai.boot.health_prepare	run	boot	boot	health_prepare	run boot health_prepare	plumbing	experimental	docs	False	boot prepare operation on health with deterministic contract and traceable outputs.
yai.boot.health_reconcile	run	boot	boot	health_reconcile	run boot health_reconcile	plumbing	experimental	docs	False	boot reconcile operation on health with deterministic contract and traceable outputs.
yai.boot.health_refresh	run	boot	boot	health_refresh	run boot health_refresh	plumbing	experimental	docs	False	boot refresh operation on health with deterministic contract and traceable outputs.
yai.boot.health_reload	run	boot	boot	health_reload	run boot health_reload	plumbing	experimental	docs	False	boot reload operation on health with deterministic contract and traceable outputs.
yai.boot.health_report	run	boot	boot	health_report	run boot health_report	plumbing	experimental	docs	False	boot report operation on health with deterministic contract and traceable outputs.
yai.boot.health_resume	run	boot	boot	health_resume	run boot health_resume	plumbing	experimental	docs	False	boot resume operation on health with deterministic contract and traceable outputs.
yai.boot.health_seal	run	boot	boot	health_seal	run boot health_seal	plumbing	experimental	docs	False	boot seal operation on health with deterministic contract and traceable outputs.
yai.boot.health_snapshot	run	boot	boot	health_snapshot	run boot health_snapshot	plumbing	experimental	docs	False	boot snapshot operation on health with deterministic contract and traceable outputs.
yai.boot.health_status	run	boot	boot	health_status	run boot health_status	surface	stable	docs	False	boot status operation on health with deterministic contract and traceable outputs.
yai.boot.health_sync	run	boot	boot	health_sync	run boot health_sync	plumbing	experimental	docs	False	boot sync operation on health with deterministic contract and traceable outputs.
yai.boot.health_trace	run	boot	boot	health_trace	run boot health_trace	plumbing	experimental	docs	False	boot trace operation on health with deterministic contract and traceable outputs.
yai.boot.health_unseal	run	boot	boot	health_unseal	run boot health_unseal	plumbing	experimental	docs	False	boot unseal operation on health with deterministic contract and traceable outputs.
yai.boot.health_verify	run	boot	boot	health_verify	run boot health_verify	plumbing	experimental	docs	False	boot verify operation on health with deterministic contract and traceable outputs.
yai.boot.health_warmup	run	boot	boot	health_warmup	run boot health_warmup	plumbing	experimental	docs	False	boot warmup operation on health with deterministic contract and traceable outputs.
yai.boot.node_audit	run	boot	boot	node_audit	run boot node_audit	plumbing	experimental	docs	False	boot audit operation on node with deterministic contract and traceable outputs.
yai.boot.node_bootstrap	run	boot	boot	node_bootstrap	run boot node_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on node with deterministic contract and traceable outputs.
yai.boot.node_check	run	boot	boot	node_check	run boot node_check	plumbing	experimental	docs	False	boot check operation on node with deterministic contract and traceable outputs.
yai.boot.node_guard	run	boot	boot	node_guard	run boot node_guard	plumbing	experimental	docs	False	boot guard operation on node with deterministic contract and traceable outputs.
yai.boot.node_index	run	boot	boot	node_index	run boot node_index	plumbing	experimental	docs	False	boot index operation on node with deterministic contract and traceable outputs.
yai.boot.node_inspect	run	boot	boot	node_inspect	run boot node_inspect	plumbing	experimental	docs	False	boot inspect operation on node with deterministic contract and traceable outputs.
yai.boot.node_prepare	run	boot	boot	node_prepare	run boot node_prepare	plumbing	experimental	docs	False	boot prepare operation on node with deterministic contract and traceable outputs.
yai.boot.node_reconcile	run	boot	boot	node_reconcile	run boot node_reconcile	plumbing	experimental	docs	False	boot reconcile operation on node with deterministic contract and traceable outputs.
yai.boot.node_refresh	run	boot	boot	node_refresh	run boot node_refresh	plumbing	experimental	docs	False	boot refresh operation on node with deterministic contract and traceable outputs.
yai.boot.node_reload	run	boot	boot	node_reload	run boot node_reload	plumbing	experimental	docs	False	boot reload operation on node with deterministic contract and traceable outputs.
yai.boot.node_report	run	boot	boot	node_report	run boot node_report	plumbing	experimental	docs	False	boot report operation on node with deterministic contract and traceable outputs.
yai.boot.node_resume	run	boot	boot	node_resume	run boot node_resume	plumbing	experimental	docs	False	boot resume operation on node with deterministic contract and traceable outputs.
yai.boot.node_seal	run	boot	boot	node_seal	run boot node_seal	plumbing	experimental	docs	False	boot seal operation on node with deterministic contract and traceable outputs.
yai.boot.node_snapshot	run	boot	boot	node_snapshot	run boot node_snapshot	plumbing	experimental	docs	False	boot snapshot operation on node with deterministic contract and traceable outputs.
yai.boot.node_status	run	boot	boot	node_status	run boot node_status	surface	stable	docs	False	boot status operation on node with deterministic contract and traceable outputs.
yai.boot.node_sync	run	boot	boot	node_sync	run boot node_sync	plumbing	experimental	docs	False	boot sync operation on node with deterministic contract and traceable outputs.
yai.boot.node_trace	run	boot	boot	node_trace	run boot node_trace	plumbing	experimental	docs	False	boot trace operation on node with deterministic contract and traceable outputs.
yai.boot.node_unseal	run	boot	boot	node_unseal	run boot node_unseal	plumbing	experimental	docs	False	boot unseal operation on node with deterministic contract and traceable outputs.
yai.boot.node_verify	run	boot	boot	node_verify	run boot node_verify	plumbing	experimental	docs	False	boot verify operation on node with deterministic contract and traceable outputs.
yai.boot.node_warmup	run	boot	boot	node_warmup	run boot node_warmup	plumbing	experimental	docs	False	boot warmup operation on node with deterministic contract and traceable outputs.
yai.boot.overlay_audit	run	boot	boot	overlay_audit	run boot overlay_audit	plumbing	experimental	docs	False	boot audit operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_bootstrap	run	boot	boot	overlay_bootstrap	run boot overlay_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_check	run	boot	boot	overlay_check	run boot overlay_check	plumbing	experimental	docs	False	boot check operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_guard	run	boot	boot	overlay_guard	run boot overlay_guard	plumbing	experimental	docs	False	boot guard operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_index	run	boot	boot	overlay_index	run boot overlay_index	plumbing	experimental	docs	False	boot index operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_inspect	run	boot	boot	overlay_inspect	run boot overlay_inspect	plumbing	experimental	docs	False	boot inspect operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_prepare	run	boot	boot	overlay_prepare	run boot overlay_prepare	plumbing	experimental	docs	False	boot prepare operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_reconcile	run	boot	boot	overlay_reconcile	run boot overlay_reconcile	plumbing	experimental	docs	False	boot reconcile operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_refresh	run	boot	boot	overlay_refresh	run boot overlay_refresh	plumbing	experimental	docs	False	boot refresh operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_reload	run	boot	boot	overlay_reload	run boot overlay_reload	plumbing	experimental	docs	False	boot reload operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_report	run	boot	boot	overlay_report	run boot overlay_report	plumbing	experimental	docs	False	boot report operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_resume	run	boot	boot	overlay_resume	run boot overlay_resume	plumbing	experimental	docs	False	boot resume operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_seal	run	boot	boot	overlay_seal	run boot overlay_seal	plumbing	experimental	docs	False	boot seal operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_snapshot	run	boot	boot	overlay_snapshot	run boot overlay_snapshot	plumbing	experimental	docs	False	boot snapshot operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_status	run	boot	boot	overlay_status	run boot overlay_status	plumbing	experimental	docs	False	boot status operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_sync	run	boot	boot	overlay_sync	run boot overlay_sync	plumbing	experimental	docs	False	boot sync operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_trace	run	boot	boot	overlay_trace	run boot overlay_trace	plumbing	experimental	docs	False	boot trace operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_verify	run	boot	boot	overlay_verify	run boot overlay_verify	plumbing	experimental	docs	False	boot verify operation on overlay with deterministic contract and traceable outputs.
yai.boot.overlay_warmup	run	boot	boot	overlay_warmup	run boot overlay_warmup	plumbing	experimental	docs	False	boot warmup operation on overlay with deterministic contract and traceable outputs.
yai.boot.probe_audit	run	boot	boot	probe_audit	run boot probe_audit	plumbing	experimental	docs	False	boot audit operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_bootstrap	run	boot	boot	probe_bootstrap	run boot probe_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_check	run	boot	boot	probe_check	run boot probe_check	plumbing	experimental	docs	False	boot check operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_guard	run	boot	boot	probe_guard	run boot probe_guard	plumbing	experimental	docs	False	boot guard operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_index	run	boot	boot	probe_index	run boot probe_index	plumbing	experimental	docs	False	boot index operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_inspect	run	boot	boot	probe_inspect	run boot probe_inspect	plumbing	experimental	docs	False	boot inspect operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_prepare	run	boot	boot	probe_prepare	run boot probe_prepare	plumbing	experimental	docs	False	boot prepare operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_reconcile	run	boot	boot	probe_reconcile	run boot probe_reconcile	plumbing	experimental	docs	False	boot reconcile operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_refresh	run	boot	boot	probe_refresh	run boot probe_refresh	plumbing	experimental	docs	False	boot refresh operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_reload	run	boot	boot	probe_reload	run boot probe_reload	plumbing	experimental	docs	False	boot reload operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_report	run	boot	boot	probe_report	run boot probe_report	plumbing	experimental	docs	False	boot report operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_resume	run	boot	boot	probe_resume	run boot probe_resume	plumbing	experimental	docs	False	boot resume operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_seal	run	boot	boot	probe_seal	run boot probe_seal	plumbing	experimental	docs	False	boot seal operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_snapshot	run	boot	boot	probe_snapshot	run boot probe_snapshot	plumbing	experimental	docs	False	boot snapshot operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_status	run	boot	boot	probe_status	run boot probe_status	plumbing	experimental	docs	False	boot status operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_sync	run	boot	boot	probe_sync	run boot probe_sync	plumbing	experimental	docs	False	boot sync operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_trace	run	boot	boot	probe_trace	run boot probe_trace	plumbing	experimental	docs	False	boot trace operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_unseal	run	boot	boot	probe_unseal	run boot probe_unseal	plumbing	experimental	docs	False	boot unseal operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_verify	run	boot	boot	probe_verify	run boot probe_verify	plumbing	experimental	docs	False	boot verify operation on probe with deterministic contract and traceable outputs.
yai.boot.probe_warmup	run	boot	boot	probe_warmup	run boot probe_warmup	plumbing	experimental	docs	False	boot warmup operation on probe with deterministic contract and traceable outputs.
yai.boot.profile_audit	run	boot	boot	profile_audit	run boot profile_audit	plumbing	experimental	docs	False	boot audit operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_bootstrap	run	boot	boot	profile_bootstrap	run boot profile_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_check	run	boot	boot	profile_check	run boot profile_check	plumbing	experimental	docs	False	boot check operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_guard	run	boot	boot	profile_guard	run boot profile_guard	plumbing	experimental	docs	False	boot guard operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_index	run	boot	boot	profile_index	run boot profile_index	plumbing	experimental	docs	False	boot index operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_inspect	run	boot	boot	profile_inspect	run boot profile_inspect	plumbing	experimental	docs	False	boot inspect operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_prepare	run	boot	boot	profile_prepare	run boot profile_prepare	plumbing	experimental	docs	False	boot prepare operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_reconcile	run	boot	boot	profile_reconcile	run boot profile_reconcile	plumbing	experimental	docs	False	boot reconcile operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_refresh	run	boot	boot	profile_refresh	run boot profile_refresh	plumbing	experimental	docs	False	boot refresh operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_reload	run	boot	boot	profile_reload	run boot profile_reload	plumbing	experimental	docs	False	boot reload operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_report	run	boot	boot	profile_report	run boot profile_report	plumbing	experimental	docs	False	boot report operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_resume	run	boot	boot	profile_resume	run boot profile_resume	plumbing	experimental	docs	False	boot resume operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_seal	run	boot	boot	profile_seal	run boot profile_seal	plumbing	experimental	docs	False	boot seal operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_snapshot	run	boot	boot	profile_snapshot	run boot profile_snapshot	plumbing	experimental	docs	False	boot snapshot operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_status	run	boot	boot	profile_status	run boot profile_status	plumbing	experimental	docs	False	boot status operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_sync	run	boot	boot	profile_sync	run boot profile_sync	plumbing	experimental	docs	False	boot sync operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_trace	run	boot	boot	profile_trace	run boot profile_trace	plumbing	experimental	docs	False	boot trace operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_unseal	run	boot	boot	profile_unseal	run boot profile_unseal	plumbing	experimental	docs	False	boot unseal operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_verify	run	boot	boot	profile_verify	run boot profile_verify	plumbing	experimental	docs	False	boot verify operation on profile with deterministic contract and traceable outputs.
yai.boot.profile_warmup	run	boot	boot	profile_warmup	run boot profile_warmup	plumbing	experimental	docs	False	boot warmup operation on profile with deterministic contract and traceable outputs.
yai.boot.runtime_audit	run	boot	boot	runtime_audit	run boot runtime_audit	plumbing	experimental	docs	False	boot audit operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_bootstrap	run	boot	boot	runtime_bootstrap	run boot runtime_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_check	run	boot	boot	runtime_check	run boot runtime_check	plumbing	experimental	docs	False	boot check operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_guard	run	boot	boot	runtime_guard	run boot runtime_guard	plumbing	experimental	docs	False	boot guard operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_index	run	boot	boot	runtime_index	run boot runtime_index	plumbing	experimental	docs	False	boot index operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_inspect	run	boot	boot	runtime_inspect	run boot runtime_inspect	plumbing	experimental	docs	False	boot inspect operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_prepare	run	boot	boot	runtime_prepare	run boot runtime_prepare	plumbing	experimental	docs	False	boot prepare operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_reconcile	run	boot	boot	runtime_reconcile	run boot runtime_reconcile	plumbing	experimental	docs	False	boot reconcile operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_refresh	run	boot	boot	runtime_refresh	run boot runtime_refresh	plumbing	experimental	docs	False	boot refresh operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_reload	run	boot	boot	runtime_reload	run boot runtime_reload	plumbing	experimental	docs	False	boot reload operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_report	run	boot	boot	runtime_report	run boot runtime_report	plumbing	experimental	docs	False	boot report operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_resume	run	boot	boot	runtime_resume	run boot runtime_resume	plumbing	experimental	docs	False	boot resume operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_seal	run	boot	boot	runtime_seal	run boot runtime_seal	plumbing	experimental	docs	False	boot seal operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_snapshot	run	boot	boot	runtime_snapshot	run boot runtime_snapshot	plumbing	experimental	docs	False	boot snapshot operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_status	run	boot	boot	runtime_status	run boot runtime_status	surface	stable	docs	False	boot status operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_sync	run	boot	boot	runtime_sync	run boot runtime_sync	plumbing	experimental	docs	False	boot sync operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_trace	run	boot	boot	runtime_trace	run boot runtime_trace	plumbing	experimental	docs	False	boot trace operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_unseal	run	boot	boot	runtime_unseal	run boot runtime_unseal	plumbing	experimental	docs	False	boot unseal operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_verify	run	boot	boot	runtime_verify	run boot runtime_verify	plumbing	experimental	docs	False	boot verify operation on runtime with deterministic contract and traceable outputs.
yai.boot.runtime_warmup	run	boot	boot	runtime_warmup	run boot runtime_warmup	plumbing	experimental	docs	False	boot warmup operation on runtime with deterministic contract and traceable outputs.
yai.boot.service_audit	run	boot	boot	service_audit	run boot service_audit	plumbing	experimental	docs	False	boot audit operation on service with deterministic contract and traceable outputs.
yai.boot.service_bootstrap	run	boot	boot	service_bootstrap	run boot service_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on service with deterministic contract and traceable outputs.
yai.boot.service_check	run	boot	boot	service_check	run boot service_check	plumbing	experimental	docs	False	boot check operation on service with deterministic contract and traceable outputs.
yai.boot.service_guard	run	boot	boot	service_guard	run boot service_guard	plumbing	experimental	docs	False	boot guard operation on service with deterministic contract and traceable outputs.
